epoch,train_loss,val_loss
1,82.69254404019908,49.443692465645924
2,62.59175370929622,44.88476343645368
3,55.86398869618648,44.34183466012137
4,51.56964820669479,43.85647115216936
5,48.494749060879236,44.42082267107283
6,46.89923734007763,42.79913246372768
7,46.444511140454715,43.72318577793666
8,44.22991431100028,43.45785081699916
9,43.520315394040914,45.70962383597238
10,43.10728571018251,42.463625078473775
11,40.96056181707302,43.0857993207659
12,41.07722300809972,42.19700658743722
13,40.963690640746044,42.480607339041576
14,39.68167226711241,43.524870718819756
15,39.43096928444229,41.73654609462193
16,39.23780856413,42.27611417497907
17,38.817860813942275,42.84152366856166
18,38.84545765468052,41.29550610351563
19,38.90232324552135,43.19359105137416
20,37.665631297135555,41.85387993512835
21,37.70070287624327,41.497050105503625
22,37.160964124663536,41.63548180280413
23,37.246881103515626,43.70894515991211
24,35.795271816734505,42.69155663190569
25,34.93352559578519,42.904102765764506
26,35.07159740031266,41.23477489362444
27,35.12911900752733,44.20642614746094
28,34.99090294589516,42.97781938825335
29,34.70308883154092,40.60214641026088
30,34.30323018883457,41.12283822631836
31,34.372650104170084,43.47789013235909
32,34.676520743490265,40.996182059151785
33,34.16201359981248,43.13982996913365
34,34.05061962993205,44.884382625034874
35,33.16382378522088,43.67576569039481
36,32.66051686775784,40.99113157871791
37,32.711215211243186,44.934264578683035
38,32.757875246961575,41.94232683890206
39,32.833217590075584,43.46870842633928
