epoch,train_loss,val_loss
1,80.57911763343033,40.76188192313058
2,64.82763653502172,36.84861464364188
3,58.74953265754544,33.39755104282924
4,53.46325148726483,32.78581561061314
5,49.532464594626916,32.7795134299142
6,46.10161745530732,34.91752466692243
7,44.40345861505003,33.16587810407366
8,42.50164247037927,33.305584544590545
9,41.675239556760204,33.61707976640974
10,40.93621831901706,33.35412149483817
11,39.648558079933636,33.68561051940918
12,39.61481270926339,33.307888427734376
13,38.56016346927565,33.261848587036134
14,38.7824968847158,33.04857759094238
15,38.169402181197185,33.218543823242186
